1,How much money did {} make in {},payroll,Player,player_name pl_year player_salary
2,How many {} did {} average in his career?,stats,Player,PTS s_pts s_name 
3,How many championships have the {} won?,team,team, t_name t_numChampionships
4,What year were the {} founded in?,team,team,t_name t_yearFounded
5,How many total NBA teams are there?,team,team,COUNT(t_name)
6,{} made his debut in what year?,player,Player,p_name p_draftYear
7,What pick overall was {} selected with?,player,Player,p_name p_draftpos
8,How many {} did {} average in his career?,stats,Player,RBS s_trb s_name 
9,How many {} did {} average in his career?,stats,Player,AST s_ast s_name 
10,How many championships did {} win in his career?,stats,Player,s_name s_rings
11,How many MVPS did {} win in his career?,stats,Player,s_name s_MVP
12,How many Final MVPS did {} win in his career?,stats,Player,s_name s_finalsMVP
13,How many {} has {} been a part of?,stats,Player, games s_games s_name
14,How many NBA Championships have there been?,team,team, SUM(t_numChampionships)
15,How many {} has {} played in the NBA?,stats,Player, years s_years s_name
16,How many players averaged more than 20 PTS that were drafted after {},complex1, stats player, 20 1990 s_name p_name p_draftYear s_pts
16,How many players averaged more than 20 PTS that were drafted after {} that make atleast ${},complex2, stats player payroll, 20 1990 2000000 s_name p_name player_name player_salary p_draftYear s_pts
